ID;Vorname;Nachname;Angezeigter Name (kurz);Angezeigter Name;Verein;Position;Marktwert;Punkte;Notendurchschnitt
pl-k00030669;Manuel;Neuer;Neuer;Manuel Neuer;Bayern München;GOALKEEPER;3400000;128;Mrz 18
pl-k00037056;Tobias;Sippel;Sippel;Tobias Sippel;Bor. Mönchengladbach;GOALKEEPER;500000;0;0.0
pl-k00039161;Sven;Ulreich;Ulreich;Sven Ulreich;Bayern München;GOALKEEPER;500000;15;01. Mai
pl-k00039245;Oliver;Baumann;Baumann;Oliver Baumann;TSG Hoffenheim;GOALKEEPER;3400000;208;03. Jul
pl-k00039284;Ron-Robert;Zieler;Zieler;Ron-Robert Zieler;1. FC Köln;GOALKEEPER;1000000;0;0.0
pl-k00040891;Jens;Grahl;Grahl;Jens Grahl;Eintracht Frankfurt;GOALKEEPER;500000;0;0.0
pl-k00043520;Janis;Blaswich;Blaswich;Janis Blaswich;Bayer 04 Leverkusen;GOALKEEPER;1000000;73;3.0
pl-k00043592;Mario;Götze;M. Götze;Mario Götze;Eintracht Frankfurt;MIDFIELDER;2400000;32;4.0
pl-k00047579;Nicolas;Höfler;Höfler;Nicolas Höfler;SC Freiburg;MIDFIELDER;1400000;30;03. Mai
pl-k00050237;Timothy;Chandler;Chandler;Timothy Chandler;Eintracht Frankfurt;DEFENDER;700000;2;0.0
pl-k00054360;Daniel;Batz;Batz;Daniel Batz;1. FSV Mainz 05;GOALKEEPER;500000;150;Feb 88
pl-k00054640;Danny;da Costa;da Costa;Danny da Costa;1. FSV Mainz 05;DEFENDER;1800000;135;03. Jun
pl-k00057241;Rani;Khedira;R. Khedira;Rani Khedira;1. FC Union Berlin;MIDFIELDER;1900000;160;Mrz 48
pl-k00057245;Marnon;Busch;Busch;Marnon Busch;1. FC Heidenheim;DEFENDER;1400000;77;Mrz 88
pl-k00057797;Markus;Kolke;Kolke;Markus Kolke;Werder Bremen;GOALKEEPER;500000;0;0.0
pl-k00058003;Mitchell;Weiser;Weiser;Mitchell Weiser;Werder Bremen;MIDFIELDER;3200000;0;0.0
pl-k00058007;Emre;Can;Can;Emre Can;Borussia Dortmund;DEFENDER;2500000;67;03. Jun
pl-k00058548;Peter;Gulacsi;Gulacsi;Peter Gulacsi;RB Leipzig;GOALKEEPER;3400000;165;Feb 93
pl-k00058740;Alexander;Meyer;A. Meyer;Alexander Meyer;Borussia Dortmund;GOALKEEPER;800000;0;0.0
pl-k00058843;Leart;Pacarada;Pacarada;Leart Pacarada;1. FC Heidenheim;DEFENDER;1500000;4;0.0
pl-k00058938;Christopher;Trimmel;Trimmel;Christopher Trimmel;1. FC Union Berlin;DEFENDER;1600000;114;Mrz 44
pl-k00059041;Andrej;Kramaric;Kramaric;Andrej Kramaric;TSG Hoffenheim;MIDFIELDER;3800000;276;Feb 95
pl-k00060522;Stefan;Bell;Bell;Stefan Bell;1. FSV Mainz 05;DEFENDER;1700000;64;Mrz 69
pl-k00060535;Leonardo;Bittencourt;Bittencourt;Leonardo Bittencourt;Werder Bremen;MIDFIELDER;1700000;45;Mrz 61
pl-k00062426;Christian;Eriksen;Eriksen;Christian Eriksen;VfL Wolfsburg;MIDFIELDER;2700000;127;Mrz 72
pl-k00063777;Lukas;Kübler;Kübler;Lukas Kübler;SC Freiburg;DEFENDER;2000000;96;Mrz 52
pl-k00063799;Michael;Gregoritsch;Gregoritsch;Michael Gregoritsch;FC Augsburg;FORWARD;1800000;81;Mrz 54
pl-k00064040;Maximilian;Arnold;Arnold;Maximilian Arnold;VfL Wolfsburg;MIDFIELDER;2800000;89;03. Jul
pl-k00065090;Anthony;Jung;A. Jung;Anthony Jung;SC Freiburg;DEFENDER;1400000;20;4.0
pl-k00065896;Robin;Zentner;Zentner;Robin Zentner;1. FSV Mainz 05;GOALKEEPER;3200000;50;03. Jan
pl-k00066523;Florian;Kainz;Kainz;Florian Kainz;1. FC Köln;MIDFIELDER;1800000;43;03. Mai
pl-k00066525;Dominique;Heintz;Heintz;Dominique Heintz;1. FC Köln;DEFENDER;1600000;28;03. Mai
pl-k00066745;Niklas;Süle;Süle;Niklas Süle;Borussia Dortmund;DEFENDER;2300000;41;03. Mai
pl-k00066753;Serge;Gnabry;Gnabry;Serge Gnabry;Bayern München;MIDFIELDER;3800000;171;02. Sep
pl-k00066754;Leon;Goretzka;Goretzka;Leon Goretzka;Bayern München;MIDFIELDER;3200000;175;Mrz 23
pl-k00067144;Patrick;Drewes;Drewes;Patrick Drewes;Borussia Dortmund;GOALKEEPER;500000;0;0.0
pl-k00067514;Kevin;Stöger;Stöger;Kevin Stöger;Bor. Mönchengladbach;MIDFIELDER;2200000;65;Mrz 94
pl-k00067724;Kevin;Akpoguma;Akpoguma;Kevin Akpoguma;TSG Hoffenheim;DEFENDER;1600000;12;0.0
pl-k00068029;Jonas;Hofmann;Hofmann;Jonas Hofmann;Bayer 04 Leverkusen;MIDFIELDER;1900000;72;Mrz 68
pl-k00068578;Julian;Brandt;Brandt;Julian Brandt;Borussia Dortmund;MIDFIELDER;3200000;146;Mrz 26
pl-k00068667;Karol;Mets;Mets;Karol Mets;FC St. Pauli;DEFENDER;1500000;59;Mrz 91
pl-k00068674;Daniel;Heuer Fernandes;Heuer Fernandes;Daniel Heuer Fernandes;Hamburger SV;GOALKEEPER;2400000;253;Feb 79
pl-k00069255;Willi;Orban;Orban;Willi Orban;RB Leipzig;DEFENDER;3500000;182;Mrz 24
